UI_Number,instruction,pd_zs,pd_fs,ref_instruction
33383,78.10698390007019,199.00621581077576,105.00387620925903,173.41227793693542
34517,42.806928396224976,240.10084128379822,145.345929145813,196.699143409729
35526,39.727482080459595,228.81537532806396,201.87720847129822,154.0303189754486
37505,43.257564306259155,465.7124240398407,92.97600722312927,215.40465784072876
40673,33.11890721321106,229.58849430084229,123.0879487991333,99.9420759677887
43872,73.6177875995636,140.07021188735962,124.35629200935364,111.8025414943695
43977,31.849865198135376,117.22866344451904,84.66558408737183,97.69366955757141
44756,63.69611144065857,112.80711317062378,110.07910823822021,142.24871945381165
47926,72.33331990242004,171.38591170310974,89.86327481269836,80.51600360870361
53469,52.2011559009552,191.04593873023987,113.39662337303162,135.4118847846985
54468,45.82864570617676,266.87458062171936,100.1884560585022,81.79818415641785
56905,32.22148847579956,215.773371219635,97.77351260185242,138.31365084648132
58124,59.502358198165894,160.91868567466736,73.67695307731628,84.97018504142761
59429,43.994287967681885,119.90182709693909,74.15214204788208,89.31904172897339
61851,62.128823041915894,189.00489139556885,91.40449166297913,60.56214642524719
64858,49.26571202278137,179.87448620796204,101.79115700721741,110.13208627700806
65592,72.95468854904175,228.96311783790588,144.22118210792542,226.860933303833
68368,64.80813908576965,215.0299150943756,91.44184923171997,134.97198629379272
59576,46.37197470664978,191.75604128837585,79.88493180274963,165.40269827842712
69574,36.48439121246338,136.2962715625763,87.32809472084045,85.5205705165863
70410,68.5714282989502,242.68295216560364,105.52757143974304,142.9011390209198
