UI_Number;Method;All_inputs;Diff_inputs;All_buttons;Diff_buttons;Clickable_buttons;Action_buttons;Dimension_375x667
12740;instruction;0;0;13;13;0;0;NO
12740;pd_zs;0;0;13;13;0;0;NO
12740;pd_fs;0;0;12;12;0;0;NO
12740;ref_instruction;0;0;13;13;0;0;NO
14283;instruction;1;1;1;1;0;0;NO
14283;pd_zs;1;1;2;2;0;0;NO
14283;pd_fs;1;1;4;4;0;0;NO
14283;ref_instruction;1;1;5;5;0;0;NO
18782;instruction;0;0;0;0;0;0;NO
18782;pd_zs;0;0;0;0;0;0;NO
18782;pd_fs;0;0;7;7;0;0;NO
18782;ref_instruction;0;0;7;7;0;0;NO
20947;instruction;6;6;3;3;0;0;NO
20947;pd_zs;6;6;2;2;0;0;YES
20947;pd_fs;6;6;3;3;0;0;NO
20947;ref_instruction;5;5;3;3;0;0;NO
22151;instruction;2;2;2;2;0;0;NO
22151;pd_zs;2;1;3;2;0;0;NO
22151;pd_fs;2;1;2;2;0;0;NO
22151;ref_instruction;0;0;2;2;0;0;NO
27360;instruction;1;1;3;3;0;0;NO
27360;pd_zs;1;1;3;3;0;0;YES
27360;pd_fs;1;1;3;3;0;0;NO
27360;ref_instruction;1;1;0;0;0;0;NO
27382;instruction;6;3;1;1;0;0;NO
27382;pd_zs;6;6;3;3;0;0;NO
27382;pd_fs;9;3;1;1;0;0;NO
27382;ref_instruction;6;6;1;1;1;0;NO
27707;instruction;0;0;1;1;0;0;NO
27707;pd_zs;0;0;3;3;0;0;NO
27707;pd_fs;0;0;3;3;0;0;NO
27707;ref_instruction;0;0;3;3;0;0;NO
30982;instruction;0;0;2;2;0;0;NO
30982;pd_zs;0;0;5;5;5;5;NO
30982;pd_fs;0;0;10;3;0;0;NO
30982;ref_instruction;0;0;15;7;0;0;NO
31390;instruction;0;0;4;4;0;0;NO
31390;pd_zs;3;2;1;1;0;0;YES
31390;pd_fs;0;0;3;3;0;0;NO
31390;ref_instruction;0;0;4;4;0;0;NO
32310;instruction;0;0;2;2;0;0;NO
32310;pd_zs;0;0;3;2;0;0;NO
32310;pd_fs;0;0;4;4;0;0;NO
32310;ref_instruction;0;0;1;1;0;0;NO
3261;instruction;13;5;1;1;0;0;NO
3261;pd_zs;2;2;1;1;0;0;YES
3261;pd_fs;4;4;10;10;0;0;NO
3261;ref_instruction;4;4;4;4;0;0;NO
33383;instruction;1;1;3;3;0;0;YES
33383;pd_zs;1;1;2;2;0;0;NO
33383;pd_fs;1;1;2;2;0;0;NO
33383;ref_instruction;1;1;3;3;0;0;NO
34346;instruction;5;5;4;4;0;0;NO
34346;pd_zs;17;16;7;4;0;0;NO
34346;pd_fs;1;1;7;3;0;0;NO
34346;ref_instruction;0;0;5;5;0;0;NO
34517;instruction;0;0;3;3;3;3;NO
34517;pd_zs;0;0;4;4;0;0;NO
34517;pd_fs;0;0;3;3;0;0;NO
34517;ref_instruction;0;0;5;5;0;0;NO
34527;instruction;16;16;2;2;0;0;NO
34527;pd_zs;16;4;2;2;2;0;NO
34527;pd_fs;16;15;3;3;0;0;NO
34527;ref_instruction;2;2;2;2;0;0;NO
35526;instruction;0;0;7;5;0;0;NO
35526;pd_zs;1;1;12;10;9;9;NO
35526;pd_fs;1;1;12;8;0;0;NO
35526;ref_instruction;0;0;4;2;0;0;NO
3727;instruction;1;1;1;1;0;0;NO
3727;pd_zs;1;1;23;7;0;0;NO
3727;pd_fs;1;1;5;5;0;0;NO
3727;ref_instruction;1;1;7;7;0;0;NO
37505;instruction;0;0;1;1;0;0;NO
37505;pd_zs;25;23;0;0;0;0;NO
37505;pd_fs;0;0;6;6;0;0;NO
37505;ref_instruction;0;0;1;1;0;0;NO
38961;instruction;0;0;1;1;0;0;NO
38961;pd_zs;0;0;0;0;0;0;NO
38961;pd_fs;0;0;9;9;0;0;NO
38961;ref_instruction;0;0;0;0;0;0;NO
40673;instruction;0;0;2;1;0;0;NO
40673;pd_zs;1;1;19;13;0;0;YES
40673;pd_fs;0;0;2;2;0;0;NO
40673;ref_instruction;0;0;4;4;0;0;NO
43872;instruction;0;0;0;0;0;0;NO
43872;pd_zs;1;1;0;0;0;0;YES
43872;pd_fs;0;0;9;8;0;0;NO
43872;ref_instruction;0;0;0;0;0;0;NO
43977;instruction;0;0;4;4;0;0;NO
43977;pd_zs;0;0;2;1;0;0;YES
43977;pd_fs;0;0;4;4;0;0;NO
43977;ref_instruction;0;0;4;4;0;0;NO
44756;instruction;1;1;1;1;0;0;NO
44756;pd_zs;1;1;1;1;0;0;YES
44756;pd_fs;1;1;1;1;0;0;NO
44756;ref_instruction;0;0;0;0;0;0;NO
47926;instruction;7;7;1;1;0;0;NO
47926;pd_zs;7;7;4;2;3;0;NO
47926;pd_fs;7;7;1;1;0;0;NO
47926;ref_instruction;4;4;1;1;0;0;NO
49794;instruction;7;7;0;0;0;0;NO
49794;pd_zs;8;1;6;6;1;1;NO
49794;pd_fs;10;1;2;1;0;0;NO
49794;ref_instruction;0;0;8;8;0;0;NO
53054;instruction;1;1;18;8;0;0;NO
53054;pd_zs;1;1;13;2;0;0;NO
53054;pd_fs;1;1;14;6;0;0;NO
53054;ref_instruction;0;0;13;7;8;8;NO
53469;instruction;1;1;3;3;0;0;NO
53469;pd_zs;1;1;6;6;0;0;NO
53469;pd_fs;1;1;0;0;0;0;NO
53469;ref_instruction;1;1;10;10;0;0;NO
54377;instruction;3;3;19;17;3;3;NO
54377;pd_zs;1;1;22;21;0;0;NO
54377;pd_fs;3;2;26;20;4;4;NO
54377;ref_instruction;0;0;5;5;0;0;NO
54468;instruction;0;0;0;0;0;0;NO
54468;pd_zs;8;1;9;9;0;0;YES
54468;pd_fs;0;0;6;6;0;0;NO
54468;ref_instruction;0;0;1;1;0;0;NO
56905;instruction;1;1;5;3;0;0;NO
56905;pd_zs;28;9;14;10;5;5;NO
56905;pd_fs;13;4;9;9;3;3;NO
56905;ref_instruction;1;1;7;7;0;0;NO
58124;instruction;7;7;1;1;0;0;NO
58124;pd_zs;7;7;3;3;0;0;YES
58124;pd_fs;6;6;2;2;0;0;NO
58124;ref_instruction;6;6;2;2;0;0;NO
59429;instruction;0;0;4;3;4;4;YES
59429;pd_zs;0;0;6;6;1;1;NO
59429;pd_fs;0;0;9;7;0;0;NO
59429;ref_instruction;0;0;6;5;0;0;NO
59576;instruction;1;1;0;0;0;0;NO
59576;pd_zs;1;1;0;0;0;0;NO
59576;pd_fs;1;1;0;0;0;0;NO
59576;ref_instruction;1;1;0;0;0;0;NO
61851;instruction;1;1;0;0;0;0;NO
61851;pd_zs;0;0;9;9;1;1;NO
61851;pd_fs;0;0;1;1;0;0;NO
61851;ref_instruction;0;0;0;0;0;0;NO
63575;instruction;1;1;11;5;11;11;NO
63575;pd_zs;1;1;12;2;0;0;NO
63575;pd_fs;1;1;24;9;0;0;NO
63575;ref_instruction;1;1;11;3;0;0;NO
64858;instruction;2;2;4;4;4;4;NO
64858;pd_zs;1;1;4;4;4;4;NO
64858;pd_fs;1;1;9;6;0;0;NO
64858;ref_instruction;0;0;5;5;0;0;NO
65592;instruction;3;1;2;2;0;0;NO
65592;pd_zs;13;13;2;2;0;0;NO
65592;pd_fs;13;13;7;7;2;2;NO
65592;ref_instruction;8;8;7;7;1;0;NO
67044;instruction;8;8;2;2;2;0;NO
67044;pd_zs;6;6;2;2;0;0;NO
67044;pd_fs;1;1;3;3;0;0;NO
67044;ref_instruction;6;6;4;4;1;1;NO
68368;instruction;4;4;3;3;0;0;NO
68368;pd_zs;4;4;2;2;0;0;YES
68368;pd_fs;0;0;4;4;0;0;NO
68368;ref_instruction;0;0;4;4;1;1;NO
69574;instruction;0;0;2;2;0;0;YES
69574;pd_zs;0;0;0;0;0;0;NO
69574;pd_fs;0;0;2;2;0;0;NO
69574;ref_instruction;0;0;2;2;0;0;NO
69587;instruction;1;1;0;0;0;0;NO
69587;pd_zs;1;1;1;1;0;0;NO
69587;pd_fs;0;0;9;5;0;0;NO
69587;ref_instruction;0;0;1;1;0;0;NO
70410;instruction;0;0;16;5;16;11;NO
70410;pd_zs;1;1;27;21;0;0;NO
70410;pd_fs;0;0;29;11;0;0;NO
70410;ref_instruction;0;0;8;8;0;0;NO
8640;instruction;4;4;0;0;0;0;NO
8640;pd_zs;0;0;3;2;3;2;NO
8640;pd_fs;8;8;1;1;0;0;NO
8640;ref_instruction;8;2;1;1;0;0;NO
